Date,Tweets
7/6/2020 11:59,b'RT @Heidi_LDN: Well said @presidentaejosh - expecting families in London to pay the price for collapsed @TfL fare income due to COVID-19 is\xe2\x80\xa6'
7/6/2020 11:59,b'RT @naaathi_: HENDITHI ITS SAFE TO SAY I HAVE RECOVERED from COVID-19 \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe'
7/6/2020 11:59,"b'RT @gauravm975: #Fight4Ews_Age_relaxation\n#Agerelaxation4EWS \nRespected Sir, Post covid-19 our community will be most vulnerable in Governm\xe2\x80\xa6'"
7/6/2020 11:59,b'RT @thedailybeast: A secret CDC report obtained by The New York Times shows Black and Latino Americans are three times more likely to get C\xe2\x80\xa6'
7/6/2020 11:59,"b'RT @rlmcelreath: Cats reacting to bad COVID-19 models, a short thread. [This is beneath me but I really need this right now let me have thi\xe2\x80\xa6'"
7/6/2020 11:59,"b'RT @Lrihendry: ME: Doctor, when do you think COVID-19 will be over? \n\nDOCTOR: I don\xe2\x80\x99t know, I\xe2\x80\x99m not much into politics.'"
7/6/2020 11:59,"b'RT @EM_RESUS: Hi, ER Doc here.\n\nIf you think wearing a piece of cloth makes it \xe2\x80\x9chard to breathe\xe2\x80\x9d, then trust me you do NOT want COVID-19.'"
7/6/2020 11:59,"b'RT @EM_RESUS: Hi, ER Doc here.\n\nIf you think wearing a piece of cloth makes it \xe2\x80\x9chard to breathe\xe2\x80\x9d, then trust me you do NOT want COVID-19.'"
7/6/2020 11:59,b'RT @Med_head_: The situation is getting worse day by day and Govt wants to conduct exams. Does it make any sense?\nAre we immune to covid-19\xe2\x80\xa6'
7/6/2020 11:59,b'RT @VellaJimmie: COVID-19 hearing cessation of movement has been lifted and places of worship are now open. https://t.co/bjqoiMjmOD'
